date,tenor,tranche,rho_node,tranche_dv01,index_dv01,hedge_ratio,rho_delta_mean,rho_delta_std,rho_delta_cv
2024-11-19,1.0,Equity_0_3,0.2683082807028002,0.0021285038228138764,0.0021285039073642986,0.9999999602770651,-0.0008821334049013272,1.2717310306490041e-08,1.4416538627638255e-05
2024-11-19,1.0,Mezz_3_7,0.033488618220857705,9.71445146547012e-13,9.71445146547012e-13,inf,0.0,0.0,0.0
2024-11-19,1.0,Mezz_7_10,0.03893220590496649,0.0,0.0,inf,1.156482317317872e-16,1.6355129777956e-16,0.00016355129777956002
2024-11-19,1.0,Senior_10_15,0.04930237940419682,0.0,0.0,inf,0.0,0.0,0.0
2024-11-19,2.0,Equity_0_3,0.4340502227755925,0.004873984620207272,0.006194106504375796,0.78687452609413,-0.008737729086023356,5.104192566593327e-08,5.841555072653671e-06
2024-11-19,2.0,Mezz_3_7,0.4435152921221279,0.0024581727108008433,0.002264201960783252,1.0856684842506237,-0.005120417979242541,1.0081178581314316e-07,1.9688194639933706e-05
2024-11-19,2.0,Mezz_7_10,0.4448384103874297,0.00023196401723046822,0.0012035795397130622,0.19272844841294767,-0.004305889350449465,1.8927003522966978e-08,4.395608428951224e-06
2024-11-19,2.0,Senior_10_15,0.4545839511132751,0.0005799462181321768,0.0007460139668513666,0.7773932444990316,-0.0022763981958636784,2.025565767480215e-08,8.898117083209618e-06
2024-11-19,3.0,Equity_0_3,0.4737003907217653,0.009366357568985073,0.013448545230776432,0.6964587922529015,-0.019364807136658602,1.8005202116122613e-07,9.297899012914937e-06
2024-11-19,3.0,Mezz_3_7,0.5345153635264711,0.007000475573809561,0.0067531844308299505,1.0366184494903865,-0.01654373365497195,1.97899927073049e-05,0.0011962228793110038
2024-11-19,3.0,Mezz_7_10,0.5478772996984832,0.000798702416981989,0.0020654561223854007,0.38669541721349443,-0.015663821695882058,1.635886548995706e-05,0.001044372555278622
2024-11-19,3.0,Senior_10_15,0.6313718657310596,0.001269718960250632,0.005036066415553542,0.2521251420213985,-0.015255212159253358,5.631481853848497e-07,3.691513297265163e-05
2024-11-19,5.0,Equity_0_3,0.5051909215744438,0.024000586980182925,0.027111775804805616,0.8852458486296856,-0.05311697615273264,9.069455521150924e-06,0.00017074495157767635
2024-11-19,5.0,Mezz_3_7,0.5851852588682677,0.014471502415569493,0.02229583592722184,0.6490674968549028,-0.05884844668575335,3.9740819888453796e-05,0.000675307881967846
2024-11-19,5.0,Mezz_7_10,0.6503806191826755,0.013586498500139932,0.015613076521370228,0.8701999558859242,-0.05947679106928914,2.0252445028227934e-06,3.4051004877909915e-05
2024-11-19,5.0,Senior_10_15,0.7058248560409596,0.004781239297257933,0.009765994255783728,0.4895803921271338,-0.059660876340034065,3.3068346274464225e-06,5.54271883067773e-05
2024-11-19,7.0,Equity_0_3,0.5082039559597129,0.042084527129282456,0.0471504797656952,0.8925577711703684,-0.0941344570167902,9.24099395742668e-07,9.816802741825364e-06
2024-11-19,7.0,Mezz_3_7,0.586608153125755,0.032649715590027384,0.04776208981482899,0.6835905990840967,-0.11559406115620158,3.0002050903944605e-05,0.0002595466462883678
2024-11-19,7.0,Mezz_7_10,0.6531326827325358,0.016706331680826914,0.038761293745248615,0.4310055229483868,-0.1218082467016276,0.0005759217511011115,0.0047281014766746175
2024-11-19,7.0,Senior_10_15,0.7080610486526926,0.011910735587816745,0.022007949437297114,0.541201515468383,-0.12665202464739075,6.140840151620107e-06,4.848592171121379e-05
2024-11-20,1.0,Equity_0_3,0.22725734590937474,0.002144902541273419,0.002144902625129952,0.9999999609042705,-0.0007290208456311309,1.4016956764820791e-06,0.0019227100087496091
2024-11-20,1.0,Mezz_3_7,0.0370089661464528,1.5612511283791264e-11,1.5612511283791264e-11,inf,-4.741577501003273e-15,4.87646234557197e-15,0.00487646234557197
2024-11-20,1.0,Mezz_7_10,0.041863390447254956,0.0,0.0,inf,-5.782411586589356e-17,8.177564888977994e-17,8.177564888977994e-05
2024-11-20,1.0,Senior_10_15,0.03423203644955456,0.0,0.0,inf,0.0,0.0,0.0
2024-11-20,2.0,Equity_0_3,0.4226492797334762,0.0058952832394931765,0.00624070761401363,0.944649806418619,-0.00801691809726688,5.0647580177332485e-05,0.006317587327554114
2024-11-20,2.0,Mezz_3_7,0.4179938664205468,0.00135033720857769,0.0022251401779471713,0.6068548947884529,-0.004920632150126146,8.893957788924822e-08,1.8074827618839207e-05
2024-11-20,2.0,Mezz_7_10,0.4129478239898566,0.0006711319454344444,0.0010377280432877223,0.646732012086875,-0.002479803169767751,2.0680304586711015e-05,0.008339494375534592
2024-11-20,2.0,Senior_10_15,0.3711928112719145,0.0002676701527093428,0.0005607187203438002,0.47736974528908716,-0.0008533791365080323,1.0930192850557024e-08,1.2808132262621989e-05
2024-11-20,3.0,Equity_0_3,0.4638380679960868,0.009486957497084614,0.013661731926850607,0.6944183612942265,-0.019359440589770478,1.598851775797134e-07,8.25877053824565e-06
2024-11-20,3.0,Mezz_3_7,0.517871831821059,0.00682397377022026,0.006619712805272515,1.0308564692995523,-0.0161816202957263,3.457375687497155e-07,2.136606609419872e-05
2024-11-20,3.0,Mezz_7_10,0.5306694605612873,0.000850067558844092,0.0019932081268825286,0.4264820855279362,-0.014792833690428638,4.345299458677473e-05,0.0029374354837024895
2024-11-20,3.0,Senior_10_15,0.6071258781999785,0.0030361265290768102,0.004445390361373924,0.6829831088531094,-0.011228868601852718,3.3702487356384424e-07,3.0014143500462416e-05
2024-11-20,5.0,Equity_0_3,0.4966798924733438,0.024492358577793416,0.027897381479902172,0.8779447130347412,-0.053200767508097456,2.391858836194762e-05,0.0004495910394207579
2024-11-20,5.0,Mezz_3_7,0.5731009087293742,0.016021344623751155,0.02238495118683792,0.715719435348669,-0.05839282160447574,3.888079812531962e-07,6.6584893582774656e-06
2024-11-20,5.0,Mezz_7_10,0.6369210238182049,0.013695008142244891,0.017835034918367576,0.7678711146307294,-0.05816946281167737,2.9205625893023914e-05,0.0005020783153452289
2024-11-20,5.0,Senior_10_15,0.6903419932517996,0.005083615891021687,0.011227506082067684,0.4527822878796852,-0.05757220265407464,7.904151425768993e-05,0.001372911068430275
2024-11-20,7.0,Equity_0_3,0.4666920497361036,0.044731803928999,0.04263414126196019,1.0492014757410026,-0.09723068300551918,2.2833866767108872e-07,2.348421924158728e-06
2024-11-20,7.0,Mezz_3_7,0.5032204041463487,0.03610929128150531,0.05191483517380524,0.6955486068792343,-0.11545935697958802,1.215147971068575e-05,0.00010524465083270819
2024-11-20,7.0,Mezz_7_10,0.5484093025144444,0.017623390509147185,0.027088227399496567,0.6505922388068374,-0.11355361013882727,4.9979346432495196e-05,0.0004401387712058818
2024-11-20,7.0,Senior_10_15,0.5836563853309213,0.02551414464313506,0.03932798763484069,0.6487528647545664,-0.10622341822097771,1.2814782221593813e-05,0.0001206398968910517
2024-11-20,10.0,Equity_0_3,0.5199877959900903,0.06971708522568454,0.06957400645407619,1.002056497518262,-0.15359933219068067,8.193866694814619e-05,0.000533457182264479
2024-11-20,10.0,Mezz_3_7,0.6022863181438399,0.0654911938952063,0.08386351994238428,0.7809258893521273,-0.21387741929428705,1.372252423470474e-06,6.4160696720503616e-06
2024-11-20,10.0,Mezz_7_10,0.6658856676992354,0.04150548538583987,0.07245475604461538,0.5728469413420161,-0.2381344936255508,0.0003236944023208925,0.0013592923788263889
2024-11-20,10.0,Senior_10_15,0.7311895349884404,0.032956509476433915,0.055993679027865895,0.5885755329638678,-0.2641826817327996,0.00015031691925807678,0.0005689885433524017
2024-11-21,1.0,Equity_0_3,0.2588026407933281,0.0021626751255804377,0.0021626752140860295,0.9999999590758746,-0.0008715247255904976,1.2196058767253168e-08,1.3993933171534272e-05
2024-11-21,1.0,Mezz_3_7,0.030030953192772852,6.938893903907228e-14,6.938893903907228e-14,inf,-4.625929269271486e-16,6.542051911182397e-16,0.0006542051911182398
2024-11-21,1.0,Mezz_7_10,0.04015305236982086,0.0,0.0,inf,-5.782411586589356e-17,8.177564888977994e-17,8.177564888977994e-05
2024-11-21,1.0,Senior_10_15,0.05576678910184029,0.0,0.0,inf,0.0,0.0,0.0
2024-11-21,2.0,Equity_0_3,0.4357818625894238,0.004943654334926828,0.006287500951551728,0.7862669720482119,-0.008850732528648556,5.0249912816768257e-08,5.677486315863289e-06
2024-11-21,2.0,Mezz_3_7,0.45152124439063207,0.0025377344813060088,0.0023374236252093894,1.0856972839395662,-0.005277478797915953,1.8674270149495786e-06,0.0003538483216051981
2024-11-21,2.0,Mezz_7_10,0.4515339415439982,0.00023818897472438483,0.00123454276045043,0.1929369985025713,-0.004383024917828147,8.445524765481315e-08,1.9268712644385776e-05
2024-11-21,2.0,Senior_10_15,0.47386073003362195,0.0007229179631307314,0.0008965984979458774,0.8062895095039183,-0.0024301074258159506,1.7551574500664516e-06,0.0007222550869236274
2024-11-21,3.0,Equity_0_3,0.4736701416258451,0.009463680571974997,0.01346417723077642,0.7028784908106315,-0.019519800227537937,1.7769574918036457e-07,9.103359005164246e-06
2024-11-21,3.0,Mezz_3_7,0.5355128435424946,0.0068080500537082145,0.006757036622451196,1.0075496751175685,-0.016926220885574272,4.732081654075888e-05,0.002795710682299381
2024-11-21,3.0,Mezz_7_10,0.548107749643155,0.0006873135845186784,0.0020723462690330763,0.33165962406435484,-0.015909940894608458,3.9840856230332775e-05,0.0025041486008181213
2024-11-21,3.0,Senior_10_15,0.6320472864842875,0.0012785424724492955,0.005035947865383861,0.25388318279419675,-0.015340769014308612,5.673693966093697e-07,3.698441688810867e-05
2024-11-21,5.0,Equity_0_3,0.5034175186258689,0.024168581291283964,0.027142711052918767,0.8904262085008277,-0.0533731860209338,4.476605500604482e-05,0.0008387367954479403
2024-11-21,5.0,Mezz_3_7,0.5827857294249879,0.015500562839665388,0.02218862906383512,0.6985813677389154,-0.059013813241664555,6.184620119896724e-06,0.00010479953387472847
2024-11-21,5.0,Mezz_7_10,0.6471004703461088,0.013516092265131174,0.015485544979654264,0.8728199287070192,-0.05943962827543579,1.9941075961285514e-06,3.354845334644602e-05
2024-11-21,5.0,Senior_10_15,0.7027915504573646,0.004759153947875294,0.010949942159665937,0.43462822711572086,-0.05954730843710456,3.233451732813426e-06,5.430055224458521e-05
2024-11-21,7.0,Equity_0_3,0.5104338909144646,0.04179080437788363,0.046539018513924724,0.8979734792941453,-0.0940600738809524,9.621782722571529e-07,1.0229401621297242e-05
