tenor,cum_hazard_before_mid,cum_hazard_after_basis_adj
1.0,0.002533333418012176,0.0024247969891369706
2.0,0.007743871593572296,0.007411475238386457
3.0,0.0156698620678919,0.014995325641631899
5.0,0.043898968515350224,0.04198980595092551
7.0,0.08587991631833916,0.08219070290525016
10.0,0.16260930447194827,0.1560057816409797
