tenor,index_expected_loss,avg_constituent_expected_loss,avg_basis_adjusted_expected_loss
1.0,0.001518076342153285,0.005721579553574508,0.0014531157261802319
2.0,0.004628379040301022,0.01137903024652746,0.0044304467893559575
3.0,0.009328637129940831,0.016973207849763958,0.008930073371962055
5.0,0.025769613098241995,0.02797510157889792,0.024672266767256312
7.0,0.04937734444207953,0.05568029239863387,0.047342228274924555
10.0,0.09004608915414399,0.09639836938600052,0.08666745369045456
