date,curve_label,tenor,k1,k2,rho,status,spread_running,upfront,model_protection_leg,model_premium_leg,residual
2024-11-21,Basis_Adjusted,1.0,0.0,0.03,0.2588026407933279,BRENT,0.054701,0.04629307,0.0015793797428680452,0.02887295923050849,-0.0013887920999999996
2024-11-21,Basis_Adjusted,1.0,0.03,0.07,0.030030953192772852,NO_BRACKET_MINABS,0.005693999999999999,-0.00459881,5.588983864769832e-05,0.03928128559919307,1.617459844589303e-05
2024-11-21,Basis_Adjusted,1.0,0.07,0.1,0.04015305236982086,NO_BRACKET_MINABS,0.002313,0.0,2.168404344971009e-19,0.029469644332350164,-6.816328734072571e-05
2024-11-21,Basis_Adjusted,1.0,0.1,0.15,0.05576678910184029,NO_BRACKET_MINABS,0.000534,0.0,-2.168404344971009e-19,0.04911607388725023,-2.6227983455791838e-05
2024-11-21,Basis_Adjusted,2.0,0.0,0.03,0.43578186259001683,BRENT,0.06371399999999999,0.10251239,0.0035259269729024318,0.05533990917066454,-0.003075371699997288
2024-11-21,Basis_Adjusted,2.0,0.03,0.07,0.45152124439180813,BRENT,0.009764,-0.00047474,0.0007510146069387071,0.076916694688519,1.8989600000007595e-05
2024-11-21,Basis_Adjusted,2.0,0.07,0.1,0.45153394154518545,BRENT,0.004398,0.0,0.0002545524520784709,0.05787913871725148,-1.0842021724855044e-18
2024-11-21,Basis_Adjusted,2.0,0.1,0.15,0.47386073005088675,BRENT,0.001544,0.0,0.0001491757703060391,0.0966164315609917,-2.413209064001942e-14
2024-11-21,Basis_Adjusted,3.0,0.0,0.03,0.47367014162584525,BRENT,0.072464,0.16753421,0.00572994314817447,0.07907296241132798,-0.005026026300000001
2024-11-21,Basis_Adjusted,3.0,0.03,0.07,0.5355128435424956,BRENT,0.014211000000000001,0.012267179999999999,0.0016050315052677467,0.1129428967185805,-0.0004906872000000009
2024-11-21,Basis_Adjusted,3.0,0.07,0.1,0.5481077496422245,BRENT,0.006847,0.0,0.0005824972827473251,0.0850733580762153,-5.210675640965334e-16
2024-11-21,Basis_Adjusted,3.0,0.1,0.15,0.6320472864797062,BRENT,0.002857,0.0,0.0004075951478318997,0.1426654350129154,3.7947076036992655e-19
2024-11-21,Basis_Adjusted,5.0,0.0,0.03,0.5034175186372576,BRENT,0.086785,0.30156523,0.010196344341163835,0.11748970837315012,-0.009046956899999998
2024-11-21,Basis_Adjusted,5.0,0.03,0.07,0.5827857294348613,BRENT,0.023213,0.059947749999999994,0.004138517429252923,0.17828447116929572,-0.0023979099999999393
2024-11-21,Basis_Adjusted,5.0,0.07,0.1,0.6471004703603469,BRENT,0.012272,0.0,0.001680366113538884,0.13692683454521493,6.5052130349130266e-18
2024-11-21,Basis_Adjusted,5.0,0.1,0.15,0.7027915504635861,BRENT,0.006151,0.0,0.0014027588105477058,0.228053781561875,1.6061262562983014e-13
2024-11-21,Basis_Adjusted,7.0,0.0,0.03,0.5104338909480001,BRENT,0.098566,0.42627349999999997,0.014272451657669856,0.14480096238762336,-0.012788205001028626
2024-11-21,Basis_Adjusted,7.0,0.03,0.07,0.5903602484385715,BRENT,0.032494999999999996,0.13271915,0.007572970909379953,0.2330503434173951,-0.005308765999968301
2024-11-21,Basis_Adjusted,7.0,0.07,0.1,0.6569302057949273,BRENT,0.018604,0.0,0.00339856967196725,0.18267951365121715,6.071532165918825e-18
2024-11-21,Basis_Adjusted,7.0,0.1,0.15,0.7129565892646638,BRENT,0.010308,0.0,0.0031408304873466394,0.3046983398666303,1.414233313790092e-15
