tenor,theoretical_spread_bps,market_spread_bps,theoretical_lambda,market_lambda,beta_knot,beta_cum,theoretical_survival,market_survival,theoretical_el,market_el,lambda_residual
1.0,21.389999999999997,15.2,0.0035650002359799006,0.0025333334180121466,0.7106124124325106,0.710612412432512,0.9964413468326874,0.9974698727630779,0.0021351919003875786,0.001518076342153285,0.0
2.0,28.92,23.09,0.00612131519518869,0.005210538175560173,0.8512122002238373,0.7994651473618222,0.9903604458189489,0.9922860349328316,0.005783732508630668,0.004628379040301022,0.0
3.0,37.35,30.945499999999996,0.00920058606795518,0.007925990474319612,0.8614658257396374,0.8296682263429412,0.9812903384332684,0.9844522714500986,0.011225796940038956,0.009328637129940831,0.0
5.0,53.91,51.104,0.013588583675000489,0.014114553223729166,1.0387067233280776,0.952998065783855,0.9549807757114258,0.9570506448362633,0.02701153457314451,0.025769613098241995,1.734723475976807e-18
7.0,75.74,69.973,0.023443805709161988,0.020990473901494437,0.8953526642345115,0.9239199987696611,0.9112375299861202,0.9177044259298675,0.053257482008327896,0.04937734444207953,0.0
10.0,92.56,90.374,0.024115581955841844,0.0255764627178697,1.0605782918572266,0.983731716472423,0.8476407081991061,0.8499231847430934,0.09141557508053634,0.09004608915414399,0.0
