t_years,ois_df,index_df,constituent_df
0.5,0.9818885876720163,0.9987341351746609,0.9952165350872988
1.0,0.9648877046133657,0.9974698727630779,0.9904559517111686
2.0,0.9339010312462855,0.9922860349328316,0.9810029922800767
3.0,0.9043430364122946,0.9844522714500986,0.9716402523502676
5.0,0.8471238829944953,0.9570506448362633,0.9531819949753814
7.0,0.7916551393165908,0.9177044259298675,0.9067208030334081
10.0,0.7117226925719075,0.8499231847430934,0.8382917429383372
