date,curve_label,tenor,k1,k2,rho,spread_running,upfront,model_protection_leg,model_premium_leg,implied_par_spread,spread_error,implied_upfront,upfront_error,par_spread_test_abs,residual
2024-12-03,Index,1.0,0.0,0.03,0.2279692095914227,0.050578,0.0409192,0.0014630966254840822,0.028927530259877453,0.0081417467501797,-0.0424362532498203,1.4456028966473393e-17,-0.04091919999999999,1.4456028966473393e-17,-0.0012275759999999995
2024-12-03,Index,1.0,0.03,0.07,0.035426231289423064,0.005106,-0.00507525,2.854924318996437e-05,0.03929840299245737,0.005892332144754281,0.0007863321447542804,-0.004302710062238074,0.0007725399377619263,0.004302710062238074,3.090159751047706e-05
2024-12-03,Index,1.0,0.07,0.1,0.032413820406194595,0.002041,0.0,-4.336808689942018e-19,0.029477484966189654,-1.4712275131057785e-17,-0.0020410000000000146,-0.002005451560533117,-0.002005451560533117,0.002005451560533117,-6.016354681599351e-05
2024-12-03,Index,1.0,0.1,0.15,0.05801228323778088,0.000513,0.0,6.505213034913027e-19,0.04912914161031613,1.3241047617951995e-17,-0.0005129999999999868,-0.0005040649929218306,-0.0005040649929218306,0.0005040649929218306,-2.5203249646091525e-05
2024-12-03,Index,2.0,0.0,0.03,0.4363870809544189,0.058809,0.09227929,0.0032673961012791913,0.05555945690751319,0.008981682490343246,-0.04982731750965676,1.7493240652329453e-13,-0.09227928999982507,1.7493240652329453e-13,-0.002768378699994752
2024-12-03,Index,2.0,0.03,0.07,0.4451093397911907,0.008915000000000001,-0.00215291,0.0006862160227695795,0.07697319380477596,0.010033784290261041,0.0011187842902610403,4.336808689942017e-17,0.0021529100000000434,4.336808689942017e-17,8.611640000000175e-05
2024-12-03,Index,2.0,0.07,0.1,0.4542801873588627,0.003909,0.0,0.00022644898844233294,0.05793015820973396,0.0039090000000083355,8.335346302068558e-15,1.609588475235772e-14,1.609588475235772e-14,1.609588475235772e-14,4.828765425707315e-16
2024-12-03,Index,2.0,0.1,0.15,0.46457950334364545,0.001392,0.0,0.00013452333310303658,0.09664032550860663,0.0013919999999488428,-5.115721214699054e-14,-9.887706972633306e-14,-9.887706972633306e-14,9.887706972633306e-14,-4.943853486316652e-15
2024-12-03,Index,3.0,0.0,0.03,0.4688881404365924,0.06726599999999999,0.15334009999999998,0.005350411376341519,0.07954109619037138,0.009431707787204653,-0.05783429221279534,-5.782411586589357e-17,-0.15334010000000003,5.782411586589357e-17,-0.004600203000000001
2024-12-03,Index,3.0,0.03,0.07,0.5112568518570272,0.013030000000000002,0.00875317,0.0014719639575222505,0.11296730294315564,0.009930635929997825,-0.003099364070002176,4.32330495188371e-12,-0.008753169995676694,4.32330495188371e-12,-0.00035012679982706783
2024-12-03,Index,3.0,0.07,0.1,0.5323233683791601,0.0061530000000000005,0.0,0.0005244321322053587,0.0852319408752405,0.006153000000000046,4.5102810375396984e-17,1.264902534566422e-16,1.264902534566422e-16,1.264902534566422e-16,3.7947076036992655e-18
2024-12-03,Index,3.0,0.1,0.15,0.5980212016085792,0.002581,0.0,0.0003681551579707513,0.1426405106335062,0.0025810000001799754,1.7997539222824877e-13,5.134358650044081e-13,5.134358650044081e-13,5.134358650044081e-13,2.5671793250220398e-14
2024-12-03,Index,5.0,0.0,0.03,0.5117703246825667,0.080813,0.28028306000000003,0.009616527110800428,0.11899727903134455,0.0101517893571518,-0.0706612106428482,1.4679345701947476e-11,-0.28028305998532066,1.4679345701947476e-11,-0.00840849179955962
2024-12-03,Index,5.0,0.03,0.07,0.5945093540769082,0.021224,0.05081741,0.00379862397779057,0.17897775997882465,0.009866743097016644,-0.011357256902983356,-1.0842021724855042e-16,-0.05081741000000011,1.0842021724855042e-16,-0.0020326964000000045
2024-12-03,Index,5.0,0.07,0.1,0.6512546490206982,0.01105,0.0,0.0015120541692289977,0.13683748137777374,0.0110500000000336,3.3599859006194777e-14,1.5325559108806769e-13,1.5325559108806769e-13,1.5325559108806769e-13,4.59766773264203e-15
2024-12-03,Index,5.0,0.1,0.15,0.7148718842585207,0.005520000000000001,0.0,0.0012613479716034725,0.22850506722349795,0.00552000000231839,2.3183894040657016e-12,1.0595274657632105e-11,1.0595274657632105e-11,1.0595274657632105e-11,5.297637328816052e-13
2024-12-03,Index,7.0,0.0,0.03,0.5160620777386076,0.09293,0.40494622,0.013668539328795025,0.14708424974491574,0.010335251608730266,-0.08259474839126973,1.734723475976807e-16,-0.40494621999999986,1.734723475976807e-16,-0.012148386599999995
2024-12-03,Index,7.0,0.03,0.07,0.5983195243334378,0.030432,0.12075943,0.007133727850336632,0.2344153473412312,0.009825937919430311,-0.02060606208056969,1.207107330758461e-12,-0.1207594299987929,1.207107330758461e-12,-0.004830377199951717
2024-12-03,Index,7.0,0.07,0.1,0.6580666576798054,0.017197999999999998,0.0,0.003140029613237543,0.18258109157219465,0.01719800000207546,2.0754613305751235e-12,1.2631331166209256e-11,1.2631331166209256e-11,1.2631331166209256e-11,3.7893993498627765e-13
2024-12-03,Index,7.0,0.1,0.15,0.721837273835957,0.009511,0.0,0.0029077797119506504,0.3057280739926542,0.00951100000067549,6.754891784810368e-13,4.130315880979119e-12,4.130315880979119e-12,4.130315880979119e-12,2.0651579404895593e-13
2024-12-03,Index,10.0,0.0,0.03,0.540673266846786,0.097491,0.50541067,0.01718139919770422,0.17623574686590845,0.011456694419892402,-0.08603430558010759,-1.9660199394403816e-15,-0.505410670000002,1.9660199394403816e-15,-0.015162320100000057
