date,curve_label,tenor,k1,k2,rho,status,spread_running,upfront,model_protection_leg,model_premium_leg,residual
2024-11-26,Basis_Adjusted,1.0,0.0,0.03,0.16658358175258037,BRENT,0.052191999999999995,0.04325212,0.0015089627808048591,0.028911763887278858,-0.0012975635999999987
2024-11-26,Basis_Adjusted,1.0,0.03,0.07,0.030912727221346324,NO_BRACKET_MINABS,0.005405,-0.00484883,7.048829664308993e-06,0.03929892077071867,-1.1408637101425405e-05
2024-11-26,Basis_Adjusted,1.0,0.07,0.1,0.03840475740534326,NO_BRACKET_MINABS,0.002175,0.0,4.336808689942018e-19,0.029474830380915543,-6.410775607849087e-05
2024-11-26,Basis_Adjusted,1.0,0.1,0.15,0.04875966426009184,NO_BRACKET_MINABS,0.000575,0.0,0.0,0.0491247173015259,-2.8246712448377393e-05
2024-11-26,Basis_Adjusted,2.0,0.0,0.03,0.4183035269996042,BRENT,0.061114,0.09727968000000001,0.0033902034424238003,0.055473433950163596,-0.002918390400006498
2024-11-26,Basis_Adjusted,2.0,0.03,0.07,0.4087353887158881,BRENT,0.00939,-0.0012206300000000001,0.0007226691472601125,0.07696157053153585,4.882519996899086e-05
2024-11-26,Basis_Adjusted,2.0,0.07,0.1,0.38603740812706516,BRENT,0.004161,0.0,0.00024103892180544172,0.05792812348124049,5.421010862427522e-20
2024-11-26,Basis_Adjusted,2.0,0.1,0.15,0.3009273284810525,BRENT,0.001541,0.0,0.00014895659719465614,0.09666229538913598,-2.4123498337802474e-18
2024-11-26,Basis_Adjusted,3.0,0.0,0.03,0.4571988576439237,BRENT,0.070038,0.16116891,0.005558931878774298,0.07937022585987982,-0.004835067299999965
2024-11-26,Basis_Adjusted,3.0,0.03,0.07,0.4899550277076135,BRENT,0.013798,0.01103429,0.0015582709021618683,0.11293454864196736,-0.0004413715999999975
2024-11-26,Basis_Adjusted,3.0,0.07,0.1,0.5065139169611775,BRENT,0.006559000000000001,0.0,0.000559182742941167,0.08525426786723084,-1.0842021724855044e-19
2024-11-26,Basis_Adjusted,3.0,0.1,0.15,0.5564152687780646,BRENT,0.002825,0.0,0.0004029447704172358,0.14263531696185494,-4.391018798566293e-18
2024-11-26,Basis_Adjusted,5.0,0.0,0.03,0.49327160415185306,BRENT,0.084672,0.29180664,0.010014887962994847,0.11827862768087263,-0.0087541992
2024-11-26,Basis_Adjusted,5.0,0.03,0.07,0.5704567475815293,BRENT,0.022475,0.0559938,0.0040195173235212656,0.17884392985538053,-0.002239751999978412
2024-11-26,Basis_Adjusted,5.0,0.07,0.1,0.6247591043450748,BRENT,0.011823,0.0,0.0016181397386623615,0.13686371805382225,1.120210695038093e-13
2024-11-26,Basis_Adjusted,5.0,0.1,0.15,0.6844855547163855,BRENT,0.006029,0.0,0.0013783267358779931,0.22861614459297708,1.269344872267819e-13
2024-11-26,Basis_Adjusted,7.0,0.0,0.03,0.5011396061057334,BRENT,0.096569,0.42007844,0.014098634207785817,0.1459954458180343,-0.012602353199415939
2024-11-26,Basis_Adjusted,7.0,0.03,0.07,0.5766673378177118,BRENT,0.032107,0.13073010999999998,0.007510134057160283,0.23390955420583642,-0.0052292043997265066
2024-11-26,Basis_Adjusted,7.0,0.07,0.1,0.6351560647148397,BRENT,0.018265,0.0,0.003336319409609715,0.18266188938459993,-2.6020852139652106e-18
2024-11-26,Basis_Adjusted,7.0,0.1,0.15,0.6940153368376644,BRENT,0.010227,0.0,0.003127608434089345,0.30581875759388955,1.766364832178624e-13
