date,tranche,delta_price_pc1,delta_price_pc2,delta_price_pc3
2024-12-03,10Y|0-3,-2.7755575615628914e-17,-2.7755575615628914e-17,-2.7755575615628914e-17
2024-12-03,10Y|10-15,0.0,0.0,0.0
2024-12-03,10Y|3-7,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17
2024-12-03,10Y|7-10,0.0,0.0,0.0
2024-12-03,1Y|0-3,-0.0018947958095457407,-0.0007091821552890655,-0.0001640511768352601
2024-12-03,1Y|10-15,-7.264917312177488e-08,0.0,4.29580376339056e-06
2024-12-03,1Y|3-7,0.0018945596986060798,0.000709182155289069,0.00016405117683526704
2024-12-03,1Y|7-10,2.3611093966091623e-07,0.0,-4.296141599677283e-06
2024-12-03,2Y|0-3,-0.0017118134616304695,-0.00042263800429258314,0.0004841481508995396
2024-12-03,2Y|10-15,0.0005457682852073042,-0.0031238896297942076,-0.00022189950739051612
2024-12-03,2Y|3-7,-0.0023497911075822386,-0.00014985044783479007,-0.0017348211113287493
2024-12-03,2Y|7-10,-0.0015716088858767907,-0.0013910670879606069,0.0016520278849982972
2024-12-03,3Y|0-3,-0.0030703704168956597,-0.0007961885809217029,-0.0010701484027886982
2024-12-03,3Y|10-15,-0.0031264891432347675,-0.004375007529524577,-0.005514782937245222
2024-12-03,3Y|3-7,-0.0038615564437593647,-0.0020285891353439,-0.01050092521300329
2024-12-03,3Y|7-10,-9.914103294345056e-05,0.00016711118268569747,0.006928299516203967
2024-12-03,5Y|0-3,-0.0069710229371641175,-0.0029271974595524303,0.021169732050350235
2024-12-03,5Y|10-15,-0.004608864754907682,0.0012286810363553724,0.00030439797326120566
2024-12-03,5Y|3-7,-0.0044017478136565424,-0.0007150049511993883,0.001107502130682697
2024-12-03,5Y|7-10,-0.0056066172107775425,-0.0035258068573995605,-0.006364630452299791
2024-12-03,7Y|0-3,-0.03205554536170174,0.027410752371151217,0.008231769593912752
2024-12-03,7Y|10-15,0.0032646788803549764,-0.009614246812660876,0.019806943013437883
2024-12-03,7Y|3-7,-0.025571439588992162,0.035240640614387975,-0.0018624522558696732
2024-12-03,7Y|7-10,-0.00018501305256041212,-0.008019662693127982,-0.026078531345749945
