target_tranche,total_abs_corr_sensitivity,locality_ratio,tenor_concentration,detachment_concentration,mezz_total_corr_sensitivity
10-15,0.8984560019809108,0.8333333333333334,0.4152162026589341,0.500272536576937,1.5326286168875207
7-10,0.8309283291139107,1.0,0.3920645296554588,0.5015693220356936,1.5326286168875207
3-7,0.70170028777361,1.0,0.3564503755561641,0.5069411312870635,1.5326286168875207
0-3,0.30951192255200977,1.0,0.3309801711498219,1.0,1.5326286168875207
