PC,explained_variance_ratio,cumulative_variance
1,0.663425121093245,0.663425121093245
2,0.265673541669123,0.9290986627623681
3,0.06523994130714506,0.9943386040695131
4,0.005661395930486725,0.9999999999999999
5,5.046386822769604e-30,0.9999999999999999
