tranche,scenario,pnl_unhedged,pnl_hedged,residual_pnl
10Y|0-3,PC1_dn_1sigma,0.06081152015655725,0.012383523487643357,0.012383523487643357
10Y|0-3,PC1_dn_PC2_dn,0.014878791657802794,0.0020093328686182008,0.0020093328686182008
10Y|0-3,PC1_up_1sigma,-0.06081152015655725,-0.012383523487643357,-0.012383523487643357
10Y|0-3,PC1_up_PC2_up,-0.014878791657802794,-0.0020093328686182008,-0.0020093328686182008
10Y|0-3,PC1_up_PC3_up,-0.046361278081622256,-0.011337027994554681,-0.011337027994554681
10Y|0-3,PC2_dn_1sigma,-0.04593272849875445,-0.010374190619025149,-0.010374190619025149
10Y|0-3,PC2_up_1sigma,0.04593272849875445,0.010374190619025149,0.010374190619025149
10Y|0-3,PC2_up_PC3_up,0.060382970573689444,0.011420686112113825,0.011420686112113825
10Y|0-3,PC3_dn_1sigma,-0.014450242074934993,-0.0010464954930886703,-0.0010464954930886703
10Y|0-3,PC3_up_1sigma,0.014450242074934993,0.0010464954930886703,0.0010464954930886703
10Y|10-15,PC1_dn_1sigma,0.0648114251790566,0.01951284637596578,0.01951284637596578
10Y|10-15,PC1_dn_PC2_dn,-0.007958841332533356,0.0006410176248426384,0.0006410176248426384
10Y|10-15,PC1_up_1sigma,-0.0648114251790566,-0.01951284637596578,-0.01951284637596578
10Y|10-15,PC1_up_PC2_up,0.007958841332533356,-0.0006410176248426384,-0.0006410176248426384
10Y|10-15,PC1_up_PC3_up,-0.022811026721134078,-0.018729097089882473,-0.018729097089882473
10Y|10-15,PC2_dn_1sigma,-0.07277026651158995,-0.018871828751123143,-0.018871828751123143
10Y|10-15,PC2_up_1sigma,0.07277026651158995,0.018871828751123143,0.018871828751123143
10Y|10-15,PC2_up_PC3_up,0.11477066496951246,0.019655578037206453,0.019655578037206453
10Y|10-15,PC3_dn_1sigma,-0.04200039845792252,-0.0007837492860833101,-0.0007837492860833101
10Y|10-15,PC3_up_1sigma,0.04200039845792252,0.0007837492860833101,0.0007837492860833101
10Y|3-7,PC1_dn_1sigma,0.10259425149504736,0.011686361671351064,0.011686361671351064
10Y|3-7,PC1_dn_PC2_dn,0.0034027205431099578,0.002133011969666935,0.002133011969666935
10Y|3-7,PC1_up_1sigma,-0.10259425149504736,-0.011686361671351064,-0.011686361671351064
10Y|3-7,PC1_up_PC2_up,-0.0034027205431099578,-0.002133011969666935,-0.002133011969666935
10Y|3-7,PC1_up_PC3_up,-0.10362436374888855,-0.010764142839532101,-0.010764142839532101
10Y|3-7,PC2_dn_1sigma,-0.0991915309519374,-0.009553349701684102,-0.009553349701684102
10Y|3-7,PC2_up_1sigma,0.0991915309519374,0.009553349701684102,0.009553349701684102
10Y|3-7,PC2_up_PC3_up,0.09816141869809622,0.010475568533503066,0.010475568533503066
10Y|3-7,PC3_dn_1sigma,0.0010301122538411871,-0.0009222188318189404,-0.0009222188318189404
10Y|3-7,PC3_up_1sigma,-0.0010301122538411871,0.0009222188318189404,0.0009222188318189404
10Y|7-10,PC1_dn_1sigma,0.0802299179537769,0.019449416197984702,0.019449416197984702
10Y|7-10,PC1_dn_PC2_dn,0.011112219054133135,0.0024402018213033113,0.0024402018213033113
10Y|7-10,PC1_up_1sigma,-0.0802299179537769,-0.019449416197984702,-0.019449416197984702
10Y|7-10,PC1_up_PC2_up,-0.011112219054133135,-0.0024402018213033113,-0.0024402018213033113
10Y|7-10,PC1_up_PC3_up,-0.1354118552379141,-0.02092342718369955,-0.02092342718369955
10Y|7-10,PC2_dn_1sigma,-0.06911769889964377,-0.01700921437668139,-0.01700921437668139
10Y|7-10,PC2_up_1sigma,0.06911769889964377,0.01700921437668139,0.01700921437668139
10Y|7-10,PC2_up_PC3_up,0.013935761615506553,0.015535203390966517,0.015535203390966517
10Y|7-10,PC3_dn_1sigma,0.055181937284137214,0.0014740109857148617,0.0014740109857148617
10Y|7-10,PC3_up_1sigma,-0.055181937284137214,-0.0014740109857148617,-0.0014740109857148617
1Y|0-3,PC1_dn_1sigma,0.0006004320150174035,0.0005932749374041091,0.0005932749374041091
1Y|0-3,PC1_dn_PC2_dn,0.0009073174217198282,0.0008991117684469302,0.0008991117684469302
1Y|0-3,PC1_up_1sigma,-0.0006004320150174035,-0.0005932749374041091,-0.0005932749374041091
1Y|0-3,PC1_up_PC2_up,-0.0009073174217198282,-0.0008991117684469302,-0.0008991117684469302
1Y|0-3,PC1_up_PC3_up,-0.000713385100239136,-0.0006885276975152788,-0.0006885276975152788
1Y|0-3,PC2_dn_1sigma,0.0003068854067024247,0.0003058368310428211,0.0003058368310428211
1Y|0-3,PC2_up_1sigma,-0.0003068854067024247,-0.0003058368310428211,-0.0003058368310428211
1Y|0-3,PC2_up_PC3_up,-0.00041983849192415713,-0.00040108959115399076,-0.00040108959115399076
1Y|0-3,PC3_dn_1sigma,0.00011295308522173245,9.525276011116966e-05,9.525276011116966e-05
1Y|0-3,PC3_up_1sigma,-0.00011295308522173245,-9.525276011116966e-05,-9.525276011116966e-05
1Y|10-15,PC1_dn_1sigma,0.0,0.0,0.0
1Y|10-15,PC1_dn_PC2_dn,0.0,0.0,0.0
1Y|10-15,PC1_up_1sigma,0.0,0.0,0.0
1Y|10-15,PC1_up_PC2_up,0.0,0.0,0.0
1Y|10-15,PC1_up_PC3_up,0.0,0.0,0.0
1Y|10-15,PC2_dn_1sigma,0.0,0.0,0.0
1Y|10-15,PC2_up_1sigma,0.0,0.0,0.0
1Y|10-15,PC2_up_PC3_up,0.0,0.0,0.0
1Y|10-15,PC3_dn_1sigma,0.0,0.0,0.0
1Y|10-15,PC3_up_1sigma,0.0,0.0,0.0
1Y|3-7,PC1_dn_1sigma,-0.0006004320150170904,-0.0005876645843675517,-0.0005876645843675517
1Y|3-7,PC1_dn_PC2_dn,-0.000907317421719515,-0.0008847921275712286,-0.0008847921275712286
1Y|3-7,PC1_up_1sigma,0.0006004320150170904,0.0005876645843675517,0.0005876645843675517
1Y|3-7,PC1_up_PC2_up,0.000907317421719515,0.0008847921275712286,0.0008847921275712286
1Y|3-7,PC1_up_PC3_up,0.0007133851002388152,0.000656803916887653,0.000656803916887653
1Y|3-7,PC2_dn_1sigma,-0.0003068854067024247,-0.0002971275432036768,-0.0002971275432036768
1Y|3-7,PC2_up_1sigma,0.0003068854067024247,0.0002971275432036768,0.0002971275432036768
1Y|3-7,PC2_up_PC3_up,0.00041983849192414943,0.000366266875723778,0.000366266875723778
1Y|3-7,PC3_dn_1sigma,-0.00011295308522172477,-6.913933252010122e-05,-6.913933252010122e-05
1Y|3-7,PC3_up_1sigma,0.00011295308522172477,6.913933252010122e-05,6.913933252010122e-05
1Y|7-10,PC1_dn_1sigma,-5.348416541857065e-17,-5.642167110408693e-17,-5.642167110408693e-17
1Y|7-10,PC1_dn_PC2_dn,6.280820358265649e-18,3.678661592767682e-19,3.678661592767682e-19
1Y|7-10,PC1_up_1sigma,5.348416541857065e-17,5.642167110408693e-17,5.642167110408693e-17
1Y|7-10,PC1_up_PC2_up,-6.280820358265649e-18,-3.678661592767682e-19,-3.678661592767682e-19
1Y|7-10,PC1_up_PC3_up,2.8682977210386986e-17,4.130554429206728e-17,4.130554429206728e-17
1Y|7-10,PC2_dn_1sigma,5.97649857768363e-17,5.67895372633637e-17,5.67895372633637e-17
1Y|7-10,PC2_up_1sigma,-5.97649857768363e-17,-5.67895372633637e-17,-5.67895372633637e-17
1Y|7-10,PC2_up_PC3_up,-8.456617398501995e-17,-7.190566407538334e-17,-7.190566407538334e-17
1Y|7-10,PC3_dn_1sigma,2.480118820818366e-17,1.5116126812019645e-17,1.5116126812019645e-17
1Y|7-10,PC3_up_1sigma,-2.480118820818366e-17,-1.5116126812019645e-17,-1.5116126812019645e-17
2Y|0-3,PC1_dn_1sigma,0.0017230589012431363,0.0015131914239653388,0.0015131914239653388
2Y|0-3,PC1_dn_PC2_dn,0.0021772468838412574,0.00188451742064923,0.00188451742064923
2Y|0-3,PC1_up_1sigma,-0.0017230589012431363,-0.0015131914239653388,-0.0015131914239653388
2Y|0-3,PC1_up_PC2_up,-0.0021772468838412574,-0.00188451742064923,-0.00188451742064923
2Y|0-3,PC1_up_PC3_up,-0.001161662291022418,-0.001425931659272164,-0.001425931659272164
2Y|0-3,PC2_dn_1sigma,0.00045418798259812097,0.0003713259966838909,0.0003713259966838909
2Y|0-3,PC2_up_1sigma,-0.00045418798259812097,-0.0003713259966838909,-0.0003713259966838909
2Y|0-3,PC2_up_PC3_up,0.00010720862762259741,-0.00028406623199071605,-0.00028406623199071605
2Y|0-3,PC3_dn_1sigma,-0.0005613966102207184,-8.725976469317484e-05,-8.725976469317484e-05
2Y|0-3,PC3_up_1sigma,0.0005613966102207184,8.725976469317484e-05,8.725976469317484e-05
2Y|10-15,PC1_dn_1sigma,0.0012089257907179826,0.0012339340098766153,0.0012339340098766153
2Y|10-15,PC1_dn_PC2_dn,0.001618425000339618,0.001594187535562443,0.001594187535562443
2Y|10-15,PC1_up_1sigma,-0.0012089257907179826,-0.0012339340098766153,-0.0012339340098766153
2Y|10-15,PC1_up_PC2_up,-0.001618425000339618,-0.001594187535562443,-0.001594187535562443
2Y|10-15,PC1_up_PC3_up,-0.0021104312878616736,-0.001703444413670447,-0.001703444413670447
2Y|10-15,PC2_dn_1sigma,0.00040949920962163544,0.0003602535256858278,0.0003602535256858278
2Y|10-15,PC2_up_1sigma,-0.00040949920962163544,-0.0003602535256858278,-0.0003602535256858278
2Y|10-15,PC2_up_PC3_up,-0.0013110047067653263,-0.0008297639294796595,-0.0008297639294796595
2Y|10-15,PC3_dn_1sigma,0.0009015054971436908,0.00046951040379383156,0.00046951040379383156
2Y|10-15,PC3_up_1sigma,-0.0009015054971436908,-0.00046951040379383156,-0.00046951040379383156
2Y|3-7,PC1_dn_1sigma,0.0008851176144355876,0.0009605842672912058,0.0009605842672912058
2Y|3-7,PC1_dn_PC2_dn,0.0010050134235144838,0.0010445267794494516,0.0010445267794494516
2Y|3-7,PC1_up_1sigma,-0.0008851176144355876,-0.0009605842672912058,-0.0009605842672912058
2Y|3-7,PC1_up_PC2_up,-0.0010050134235144838,-0.0010445267794494516,-0.0010445267794494516
2Y|3-7,PC1_up_PC3_up,-0.002529891072377172,-0.0019171077435127374,-0.0019171077435127374
2Y|3-7,PC2_dn_1sigma,0.00011989580907889611,8.394251215824571e-05,8.394251215824571e-05
2Y|3-7,PC2_up_1sigma,-0.00011989580907889611,-8.394251215824571e-05,-8.394251215824571e-05
2Y|3-7,PC2_up_PC3_up,-0.0017646692670204806,-0.0010404659883797775,-0.0010404659883797775
2Y|3-7,PC3_dn_1sigma,0.0016447734579415844,0.0009565234762215317,0.0009565234762215317
2Y|3-7,PC3_up_1sigma,-0.0016447734579415844,-0.0009565234762215317,-0.0009565234762215317
2Y|7-10,PC1_dn_1sigma,0.0006623666534528542,0.000852758007408881,0.000852758007408881
2Y|7-10,PC1_dn_PC2_dn,0.0015194739760296945,0.0019009849749675911,0.0019009849749675911
2Y|7-10,PC1_up_1sigma,-0.0006623666534528542,-0.000852758007408881,-0.000852758007408881
2Y|7-10,PC1_up_PC2_up,-0.0015194739760296945,-0.0019009849749675911,-0.0019009849749675911
2Y|7-10,PC1_up_PC3_up,0.0017528609846585678,0.0009027811174173775,0.0009027811174173775
2Y|7-10,PC2_dn_1sigma,0.0008571073225768404,0.0010482269675587102,0.0010482269675587102
