tranche,scenario,pnl_unhedged
2Y|10-15,PC3_up_1sigma,-0.0009015054971436908
2Y|10-15,PC3_dn_1sigma,0.0009015054971436908
2Y|10-15,PC1_up_PC2_up,-0.001618425000339618
2Y|10-15,PC1_up_PC3_up,-0.0021104312878616736
2Y|10-15,PC2_up_PC3_up,-0.0013110047067653263
2Y|10-15,PC1_dn_PC2_dn,0.001618425000339618
2Y|3-7,PC1_up_1sigma,-0.0008851176144355876
2Y|3-7,PC1_dn_1sigma,0.0008851176144355876
2Y|3-7,PC2_up_1sigma,-0.00011989580907889611
2Y|3-7,PC2_dn_1sigma,0.00011989580907889611
2Y|3-7,PC3_up_1sigma,-0.0016447734579415844
2Y|3-7,PC3_dn_1sigma,0.0016447734579415844
2Y|3-7,PC1_up_PC2_up,-0.0010050134235144838
2Y|3-7,PC1_up_PC3_up,-0.002529891072377172
2Y|3-7,PC2_up_PC3_up,-0.0017646692670204806
2Y|3-7,PC1_dn_PC2_dn,0.0010050134235144838
2Y|7-10,PC1_up_1sigma,-0.0006623666534528542
2Y|7-10,PC1_dn_1sigma,0.0006623666534528542
2Y|7-10,PC2_up_1sigma,-0.0008571073225768404
2Y|7-10,PC2_dn_1sigma,0.0008571073225768404
2Y|7-10,PC3_up_1sigma,0.002415227638111422
2Y|7-10,PC3_dn_1sigma,-0.002415227638111422
2Y|7-10,PC1_up_PC2_up,-0.0015194739760296945
2Y|7-10,PC1_up_PC3_up,0.0017528609846585678
2Y|7-10,PC2_up_PC3_up,0.0015581203155345814
2Y|7-10,PC1_dn_PC2_dn,0.0015194739760296945
3Y|0-3,PC1_up_1sigma,-0.0033661472520336157
3Y|0-3,PC1_dn_1sigma,0.0033661472520336157
3Y|0-3,PC2_up_1sigma,-0.000884069231674608
3Y|0-3,PC2_dn_1sigma,0.000884069231674608
3Y|0-3,PC3_up_1sigma,-0.001186101756468449
3Y|0-3,PC3_dn_1sigma,0.001186101756468449
3Y|0-3,PC1_up_PC2_up,-0.004250216483708224
3Y|0-3,PC1_up_PC3_up,-0.004552249008502065
3Y|0-3,PC2_up_PC3_up,-0.002070170988143057
3Y|0-3,PC1_dn_PC2_dn,0.004250216483708224
3Y|10-15,PC1_up_1sigma,-0.0011157049574031645
3Y|10-15,PC1_dn_1sigma,0.0011157049574031645
3Y|10-15,PC2_up_1sigma,-0.0013393811529974768
3Y|10-15,PC2_dn_1sigma,0.0013393811529974768
3Y|10-15,PC3_up_1sigma,-0.00323520117949083
3Y|10-15,PC3_dn_1sigma,0.00323520117949083
3Y|10-15,PC1_up_PC2_up,-0.0024550861104006413
3Y|10-15,PC1_up_PC3_up,-0.004350906136893994
3Y|10-15,PC2_up_PC3_up,-0.004574582332488307
3Y|10-15,PC1_dn_PC2_dn,0.0024550861104006413
3Y|3-7,PC1_up_1sigma,-0.0024673239383622737
3Y|3-7,PC1_dn_1sigma,0.0024673239383622737
3Y|3-7,PC2_up_1sigma,-0.0018911799305867988
3Y|3-7,PC2_dn_1sigma,0.0018911799305867988
3Y|3-7,PC3_up_1sigma,-0.007578426549201977
3Y|3-7,PC3_dn_1sigma,0.007578426549201977
3Y|3-7,PC1_up_PC2_up,-0.004358503868949073
3Y|3-7,PC1_up_PC3_up,-0.01004575048756425
3Y|3-7,PC2_up_PC3_up,-0.009469606479788777
3Y|3-7,PC1_dn_PC2_dn,0.004358503868949073
3Y|7-10,PC1_up_1sigma,0.00041323714933869083
3Y|7-10,PC1_dn_1sigma,-0.00041323714933869083
3Y|7-10,PC2_up_1sigma,0.0002505755928156133
3Y|7-10,PC2_dn_1sigma,-0.0002505755928156133
3Y|7-10,PC3_up_1sigma,0.004779080341593647
3Y|7-10,PC3_dn_1sigma,-0.004779080341593647
3Y|7-10,PC1_up_PC2_up,0.0006638127421543041
3Y|7-10,PC1_up_PC3_up,0.005192317490932338
3Y|7-10,PC2_up_PC3_up,0.005029655934409261
3Y|7-10,PC1_dn_PC2_dn,-0.0006638127421543041
5Y|0-3,PC1_up_1sigma,-0.008130648353596628
5Y|0-3,PC1_dn_1sigma,0.008130648353596628
5Y|0-3,PC2_up_1sigma,-0.0033136150674359472
5Y|0-3,PC2_dn_1sigma,0.0033136150674359472
5Y|0-3,PC3_up_1sigma,0.020555805095410183
5Y|0-3,PC3_dn_1sigma,-0.020555805095410183
5Y|0-3,PC1_up_PC2_up,-0.011444263421032577
5Y|0-3,PC1_up_PC3_up,0.012425156741813555
5Y|0-3,PC2_up_PC3_up,0.017242190027974235
5Y|0-3,PC1_dn_PC2_dn,0.011444263421032577
5Y|10-15,PC1_up_1sigma,-0.0012500196277648301
5Y|10-15,PC1_dn_1sigma,0.0012500196277648301
5Y|10-15,PC2_up_1sigma,0.0013160429006221154
5Y|10-15,PC2_dn_1sigma,-0.0013160429006221154
5Y|10-15,PC3_up_1sigma,0.014302459303573904
5Y|10-15,PC3_dn_1sigma,-0.014302459303573904
5Y|10-15,PC1_up_PC2_up,6.602327285728522e-05
5Y|10-15,PC1_up_PC3_up,0.013052439675809074
5Y|10-15,PC2_up_PC3_up,0.015618502204196019
5Y|10-15,PC1_dn_PC2_dn,-6.602327285728522e-05
5Y|3-7,PC1_up_1sigma,-0.00397760033881952
5Y|3-7,PC1_dn_1sigma,0.00397760033881952
5Y|3-7,PC2_up_1sigma,-0.0006972696593099777
5Y|3-7,PC2_dn_1sigma,0.0006972696593099777
5Y|3-7,PC3_up_1sigma,0.010854774105102603
5Y|3-7,PC3_dn_1sigma,-0.010854774105102603
5Y|3-7,PC1_up_PC2_up,-0.004674869998129497
5Y|3-7,PC1_up_PC3_up,0.006877173766283083
5Y|3-7,PC2_up_PC3_up,0.010157504445792626
5Y|3-7,PC1_dn_PC2_dn,0.004674869998129497
5Y|7-10,PC1_up_1sigma,-0.0032028542435175553
5Y|7-10,PC1_dn_1sigma,0.0032028542435175553
5Y|7-10,PC2_up_1sigma,-0.0033181814272190183
5Y|7-10,PC2_dn_1sigma,0.0033181814272190183
5Y|7-10,PC3_up_1sigma,-0.008996919722015101
5Y|7-10,PC3_dn_1sigma,0.008996919722015101
5Y|7-10,PC1_up_PC2_up,-0.006521035670736574
5Y|7-10,PC1_up_PC3_up,-0.012199773965532656
5Y|7-10,PC2_up_PC3_up,-0.01231510114923412
5Y|7-10,PC1_dn_PC2_dn,0.006521035670736574
7Y|0-3,PC1_up_1sigma,-0.03720275533883849
7Y|0-3,PC1_dn_1sigma,0.03720275533883849
7Y|0-3,PC2_up_1sigma,0.02810033454163211
7Y|0-3,PC2_dn_1sigma,-0.02810033454163211
7Y|0-3,PC3_up_1sigma,0.008840246373002942
7Y|0-3,PC3_dn_1sigma,-0.008840246373002942
7Y|0-3,PC1_up_PC2_up,-0.009102420797206379
7Y|0-3,PC1_up_PC3_up,-0.02836250896583555
7Y|0-3,PC2_up_PC3_up,0.03694058091463505
7Y|0-3,PC1_dn_PC2_dn,0.009102420797206379
7Y|10-15,PC1_up_1sigma,-0.023494456890186866
7Y|10-15,PC1_dn_1sigma,0.023494456890186866
7Y|10-15,PC2_up_1sigma,0.027890561649130344
7Y|10-15,PC2_dn_1sigma,-0.027890561649130344
7Y|10-15,PC3_up_1sigma,0.020311395732609455
7Y|10-15,PC3_dn_1sigma,-0.020311395732609455
7Y|10-15,PC1_up_PC2_up,0.00439610475894348
7Y|10-15,PC1_up_PC3_up,-0.0031830611575774095
7Y|10-15,PC2_up_PC3_up,0.0482019573817398
7Y|10-15,PC1_dn_PC2_dn,-0.00439610475894348
7Y|3-7,PC1_up_1sigma,-0.04974625438113224
