tranche,hedge_T1,hedge_T2,hedge_T3,hedge_w_T1,hedge_w_T2,hedge_w_T3
10Y|0-3,7Y|0-3,5Y|0-3,3Y|0-3,-1.2779942532130288,-0.10320467748526359,-0.013061876922461541
10Y|10-15,7Y|10-15,5Y|10-15,3Y|10-15,-1.9233388772285507,-0.13790102213257785,0.055213985670293564
10Y|3-7,7Y|3-7,5Y|3-7,3Y|3-7,-1.8240274624393404,-0.07227240290299121,0.04787172588893631
10Y|7-10,7Y|7-10,5Y|7-10,3Y|7-10,-1.9691252917677242,0.02911779113049796,0.02681609630861034
1Y|0-3,2Y|0-3,3Y|0-3,5Y|0-3,-0.0011822981637745521,-0.0032288582803928555,0.0007070658992315336
1Y|10-15,2Y|10-15,3Y|10-15,5Y|10-15,0.0,0.0,0.0
1Y|3-7,2Y|3-7,3Y|3-7,5Y|3-7,0.0011065086642805492,0.005181991339676531,-0.0002508072343959133
1Y|7-10,2Y|7-10,3Y|7-10,5Y|7-10,6.448871375297736e-17,3.1997793016664963e-16,-8.892050261360418e-16
2Y|0-3,1Y|0-3,3Y|0-3,5Y|0-3,-0.0011854353620425852,-0.005622126973054953,-0.023396756125802786
2Y|10-15,1Y|10-15,3Y|10-15,5Y|10-15,0.0,-0.009115532047855085,0.02814232886622331
2Y|3-7,1Y|3-7,3Y|3-7,5Y|3-7,0.0011141709634246873,-0.03356359249075734,0.03996074980959889
2Y|7-10,1Y|7-10,3Y|7-10,5Y|7-10,2.8660614907674066e-16,-0.03451169873663494,0.054991524608946435
3Y|0-3,2Y|0-3,1Y|0-3,5Y|0-3,-0.005704154568565204,-0.003284660458467751,0.02357949752743954
3Y|10-15,2Y|10-15,1Y|10-15,5Y|10-15,-0.009345826500439768,0.0,0.10615488332884913
3Y|3-7,2Y|3-7,5Y|3-7,1Y|3-7,-0.039421317515008526,0.21911380693060775,0.006128531114898436
3Y|7-10,2Y|7-10,5Y|7-10,1Y|7-10,-0.0361994674028007,0.1322264825095557,3.4264714808038235e-16
5Y|0-3,3Y|0-3,7Y|0-3,2Y|0-3,0.06964521050141616,-0.17228257841758335,-0.05809065170488197
5Y|10-15,3Y|10-15,7Y|10-15,2Y|10-15,0.10736527138015363,-0.24572394732783054,0.03336909906761495
5Y|3-7,3Y|3-7,7Y|3-7,2Y|3-7,0.26363725083707407,-0.0018592580827434787,0.056574636752545586
5Y|7-10,3Y|7-10,7Y|7-10,2Y|7-10,0.10734947928651788,-0.12048503722657684,0.03784914941507973
7Y|0-3,5Y|0-3,10Y|0-3,3Y|0-3,-0.027365910495119567,-0.5539239918592557,-0.003463507308661371
7Y|10-15,5Y|10-15,10Y|10-15,3Y|10-15,-0.14066509838405356,-0.3775416628538817,0.033916724025159536
7Y|3-7,5Y|3-7,10Y|3-7,3Y|3-7,0.033260096052699556,-0.4795256655659118,-0.016832159546855806
7Y|7-10,5Y|7-10,10Y|7-10,3Y|7-10,-0.13337485578798988,-0.4060631963330031,0.06889717215685766
