hedge_method,tenor_bucket,average_scenario_vol_reduction,median_scenario_vol_reduction,average_residual_rmse,worst_case_residual_mean
factor_match,intermediate,0.16996746665083823,0.1727200653284101,0.005379715330343348,0.008998366711524054
factor_match,long,0.8685964400629134,0.9016765489886451,0.006757531518023647,0.009692293876010446
factor_match,short,0.10629901667486717,0.11552351650251846,0.0009663164052331869,0.0015316597414696941
scenario_opt,intermediate,0.3448775399792136,0.3547908554263866,0.004459611119544765,0.007079174669738559
scenario_opt,long,0.9718801418512585,0.9780917916958087,0.0013594924998794624,0.0020399098294836882
scenario_opt,short,0.4824822459091376,0.5294944519955801,0.0005918160341878862,0.0009382790432508249
