hedge_method,tranche_bucket,average_scenario_vol_reduction,median_scenario_vol_reduction,average_residual_rmse,worst_case_residual_mean
factor_match,equity,0.31630514010807154,0.09667928444599322,0.004682546169738573,0.006978836681000268
factor_match,lower_mezz,0.4023142024035933,0.18973129997119081,0.003652482357330695,0.00554244998911541
factor_match,senior,0.4627118647330458,0.2750904583786722,0.005322619001885353,0.008209423975923717
factor_match,upper_mezz,0.46420599500479953,0.30055399389192716,0.005254521409298543,0.008508080649756302
scenario_opt,equity,0.5464551547248867,0.5294944519955801,0.0026735362314644095,0.004134500877812605
scenario_opt,lower_mezz,0.6409772104860122,0.6512752337250048,0.0017708360154929535,0.002603761833605261
scenario_opt,senior,0.6315398095158455,0.5208033696668228,0.002188686909920727,0.003782929331865484
scenario_opt,upper_mezz,0.6293323382507962,0.656427064142415,0.0024988114258346654,0.0038476254650896616
