tranche_tenor,tranche_name,factor,raw_exposure,normalized_exposure,explained_variance_ratio,variance_weighted_contribution
1.0,0-3,PC1,-0.00019175309555750404,0.4534215657585412,0.663425121093245,0.0001272138206402417
1.0,0-3,PC2,-0.000157609073750885,0.3726842207689358,0.265673541669123,4.1872560822587624e-05
1.0,0-3,PC3,-7.354029065007167e-05,0.17389421347252298,0.065239941307145,4.7977642457210595e-06
1.0,10-15,PC1,0.0,0.0,0.663425121093245,0.0
1.0,10-15,PC2,0.0,0.0,0.265673541669123,0.0
1.0,10-15,PC3,0.0,0.0,0.065239941307145,0.0
1.0,3-7,PC1,0.00019175309555743183,0.453421565758469,0.663425121093245,0.0001272138206401938
1.0,3-7,PC2,0.00015760907375087036,0.37268422076898217,0.265673541669123,4.1872560822583734e-05
1.0,3-7,PC3,7.354029065006667e-05,0.17389421347254894,0.065239941307145,4.797764245720733e-06
1.0,7-10,PC1,1.7080625326121314e-17,0.2672112727117767,0.663425121093245,1.133171592533038e-17
1.0,7-10,PC2,-3.069388066455257e-17,0.48017860940346196,0.265673541669123,8.154551983721096e-18
1.0,7-10,PC3,-1.6147293238751094e-17,0.2526101178847614,0.065239941307145,1.0534484631653806e-18
2.0,0-3,PC1,-0.0005502735861473582,0.47889775764757797,0.663425121093245,0.0003650653205242253
2.0,0-3,PC2,-0.0002332601866450312,0.2030040749636248,0.265673541669123,6.19710599163861e-05
2.0,0-3,PC3,0.000365508120513584,0.3180981673887972,0.065239941307145,2.3845728329591102e-05
2.0,10-15,PC1,-0.0003860807832886644,0.3262656903513564,0.663425121093245,0.00025613569040505707
2.0,10-15,PC2,-0.00021030909166930701,0.17772612352309167,0.265673541669123,5.587356122900104e-05
2.0,10-15,PC3,-0.0005869425890620517,0.49600818612555203,0.065239941307145,3.8292100061071976e-05
2.0,3-7,PC1,-0.00028266987478273945,0.19975157817231112,0.663425121093245,0.00018753029590715134
2.0,3-7,PC2,-6.157564681415746e-05,0.043513064975751185,0.265673541669123,1.6359020169684262e-05
